Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
csat_q01_height_perception,csat,,radio,My height is,"short, Short | average, Average | above_average, Above average | unusually_tall, Unusually tall",,,,,,,y,,,,,
csat_q02_posture_perception,csat,,radio,My posture is,"erect, Erect | slightly_stooped_or_slumped, Slightly stooped or slumped | very_stooped_or_slumped, Very stooped or slumped | average_not_erect_stooped_or_slumped, Average, not erect, stooped or slumped",,,,,,,y,,,,,
csat_q03_weight_perception,csat,,radio,My weight is,"underweight, Tendency to be underweight; hard to gain, easy to lose | average, Average, with minor fluctuations; easy to gain and lose | overweight, Tendency to be overweight; easy to gain, hard to lose",,,,,,,y,,,,,
csat_q04_body_frame_perception,csat,,radio,My body frame is,"strong_stocky, Strong, stocky | average, Average | thin_light, Thin, light",,,,,,,y,,,,,
csat_q05_skin_perception,csat,,radio,My skin tends to be,"warm_oily, Warm, oily | rough_dry, Rough, dry | cool_smooth, Cool, smooth",,,,,,,y,,,,,
csat_q06_skin_exposed_to_sun,csat,,radio,"When exposed to the sun, my skin","becomes_red_and_rarely_tans, Becomes red and rarely tans | tans_without_sunburn, Tans without sunburn | darkens_after_a_mild_sunburn, Darkens after a mild sunburn",,,,,,,y,,,,,
csat_q07_hair_texture,csat,,radio,My hair naturally tends to be,"dry_coarse_curly, Dry, coarse, curly | fine_straight, Fine, straight | thick_wavy_healthy_lustrous, Thick, wavy, healthy, lustrous",,,,,,,y,,,,,
csat_q08_hair_tendency,csat,,radio,My hair naturally tends to be prone to,"dandruff_and_split_ends, Dandruff and split ends | premature_greying_and_baldness, Premature greying and baldness | greasy_with_excess_oil, Greasy with excess oil",,,,,,,y,,,,,
csat_q09_eye_tendency,csat,,radio,"My eyes tend to be
","prone_to_redness_and_irritation, Prone to redness and irritation | dry, Dry | well_lubricated, Well-lubricated",,,,,,,y,,,,,
csat_q10_joints_tendency,csat,,radio,"My joints tend to be
","flexible, Flexible | stiff_with_cracking_sounds, Stiff with cracking sounds | well_lubricated_with_few_cracking_sounds, Well-lubricated with few cracking sounds",,,,,,,y,,,,,
csat_q11_nails_tendency,csat,,radio,My nails are,"strong_thick, Strong, thick | thin_brittle, Thin, brittle | soft_smooth, Soft, smooth",,,,,,,y,,,,,
csat_q12_skin_tendency,csat,,radio,My skin tends to be,"prone_to_chapping_corns_calluses_cracked_heels, Prone to chapping, corns, calluses, cracked heels | sensitive_prone_to_rashes_acne_freckles_moles, Sensitive; prone to rashes, acne, freckles, moles | moist_not_prone_to_skin_irritations, Moist; not prone to skin irritations",,,,,,,y,,,,,
csat_q13_teeth_perception,csat,,radio,My teeth are,"even_large_strong, Even, large, strong | prone_to_cavities_bleeding_gums_canker_sores, Prone to cavities, bleeding gums, canker sores | sensitive_uneven_gums_may_recede_early, Sensitive, uneven; gums may recede early",,,,,,,y,,,,,
csat_q14_appetite_perception,csat,,radio,My appetite is,"moderate, Moderate; I love sweets and am prone to emotional snacking | irregular, Irregular, ranging from hunger to a lack of appetite | excellent, Excellent, but I become irritable without regular meals",,,,,,,y,,,,,
csat_q15_metabolic_rate_perception,csat,,radio,My digestive heat (metabolic rate) tends to be,"high, High; I digest food fast | moderate, Moderate; I digest food at steady rates | low, Low; I digest food slowly | fluctuating, Fluctuating; my digestion varies from fast to slow",,,,,,,y,,,,,
csat_q16_natural_menstruation_quality,csat,,radio,My menstruation without medication is,"regular_in_duration, Regular in duration | long_duration_heavy, Long duration, heavy | irregular_scanty, Irregular, scanty",,,,,,,y,,,,,
csat_q17_occurrences_during_menstruation,csat,,radio,"During menstruation without medication, the following occur","cramping_bloating_lethargy, Cramping, bloating, lethargy | anxiety_insomnia_moodiness, Anxiety, insomnia, moodiness | irritability_rashes_headaches_craving, Irritability, rashes, headaches, craving",,,,,,,y,,,,,
csat_q18_blood_circulation_quality_perception,csat,,radio,"My blood circulation is
","irregular, Irregular; my body temperature varies from cold to hot | good, Good; I feel warm, and my hands and feet are warm | weak, Weak; I feel cold, and often have cold hands and feet",,,,,,,y,,,,,
csat_q19_bowel_movements_tendency,csat,,radio,My bowel movements tend to be,"frequent_loose, Frequent, loose | regular_formed, Regular, formed | irregular_periodic_constipation, Irregular, periodic constipation",,,,,,,y,,,,,
csat_q20_easygoingness_perception,csat,,radio,"Throughout my life, I have been","easy_going, Easy-going | goal_oriented, Goal-oriented | free_spirited, Free-spirited",,,,,,,y,,,,,
csat_q21_sweat_quality,csat,,radio,My sweat is,"minimal, Minimal | moderate, Moderate | plentiful, Plentiful",,,,,,,y,,,,,
csat_q22_voice_tendency,csat,,radio,My voice tends to,"be_loud_distinct, Be loud, distinct | be_low_soft, Be low, soft | vary_in_volume, Vary in volume, be prone to hoarseness",,,,,,,y,,,,,
csat_q23_energy_level_perception,csat,,radio,"My energy level is
","steady, Steady | variable_or_low, Variable, or low | high, High",,,,,,,y,,,,,
csat_q24_exercise_tendency,csat,,radio,I tend to engage in this kind of exercise,"vigorous_exercise_which_refreshes_me, Vigorous exercise, which refreshes me | vigorous_exercise_but_i_quickly_get_exhausted, Vigorous exercise, but I quickly get exhausted | moderate_sustained_exercise, Moderate, sustained exercise | mild_if_any_exercise, Mild, if any exercise",,,,,,,y,,,,,
csat_q25_sleep_quality,csat,,radio,My sleep is,"deep_long, Deep, long | light_irregular, Light, irregular | good_but_irregular_at_times, Good, but irregular at times",,,,,,,y,,,,,
csat_q26_sex_drive_tendency,csat,,radio,My sex drive is,"high_with_passionate_desire, High, with passionate desire | moderate_with_slow_arousal, Moderate, with slow arousal | low_with_no_arousal, Low, with no arousal | variable_with_active_fantasy_life, Variable, with active fantasy life",,,,,,,y,,,,,
csat_q27_symptom_combination_tendency,csat,,radio,I'm susceptible to this combination of symptoms,"insomnia_anxiety_ringing_in_ears_shifting_pain, Insomnia, anxiety, ringing in ears, shifting pain | colds_water_retention_weight_gain_slow_digestion, Colds, water retention, weight gain, slow digestion | fever_infection_acid_reflux_nausea, Fever, infection, acid reflux, nausea",,,,,,,y,,,,,
csat_q28_stress_reaction_tendency,csat,,radio,"When stressed out, I tend to be","angry_judgmental_irritable, Angry, judgmental, irritable | fearful_insecure_tense, Fearful, insecure, tense | complacent_inflexible_procrastinating, Complacent, inflexible, procrastinating",,,,,,,y,,,,,
csat_q29_personality_qualities,csat,,radio,My personality tends to be,"lively_creative_flexible_enthusiastic_sensitive, Lively, creative, flexible, enthusiastic, sensitive | ambitious_competitive_goal_directed_motivated_adventurous, Ambitious, competitive, goal-directed, motivated, adventurous | calm_persistent_considerate_serious_humble, Calm, persistent, considerate, serious, humble",,,,,,,y,,,,,
csat_q30_upset_tendency,csat,,radio,"When upset, I tend to be","demanding_frustrated_hot_tempered, Demanding, frustrated, hot-tempered | anxious_restless_indecisive, Anxious, restless, indecisive | withdrawn_inactive_resentful, Withdrawn, inactive, resentful",,,,,,,y,,,,,
csat_q31_dreams_tendency,csat,,radio,My dreams when I sleep tend to be,"busy_incoherent, Busy, incoherent | adventurous_intense, Adventurous, intense | calm_coherent, Calm, coherent",,,,,,,y,,,,,
csat_q32_learning_style_tendency,csat,,radio,My learning style is,"relaxed_steady, Relaxed, steady | quick_focused, Quick, focused | variable_unfocused, Variable, unfocused",,,,,,,y,,,,,
csat_q33_speech_quality,csat,,radio,My speech is,"excited_talkative_jumping_from_topic_to_topic, Excited, talkative, jumping from topic to topic | convincing_confident_argumentative, Convincing, confident, argumentative | deliberate_pleasant_not_talkative, Deliberate, pleasant, not talkative",,,,,,,y,,,,,
csat_q34_work_approach_tendency,csat,,radio,My approach to work is,"methodical_focused, Methodical, focused; I enjoy developing and then delegating new projects | practical_managerial, Practical, managerial; I am less able to initiate new projects; but I can make them run smoothly | imaginative_original, Imaginative, original; I have many ideas but lack focus to carry them out",,,,,,,y,,,,,
csat_q35_happiest_context,csat,,radio,I am happiest when I am,"with_a_group_of_people_talking_laughing_singing_dancing, With a group of people, talking, laughing, singing, dancing | with_friends_engaging_in_competitive_adventurous_activities, With friends engaging in competitive, adventurous activities | having_a_quiet_comfortable_time_alone_or_with_a_few_good_friends, Having a quiet, comfortable time alone or with a few good friends",,,,,,,y,,,,,
csat_q36_tendency_when_dealing_with_other_people,csat,,radio,"In dealing with other people, I tend to be","courageous_determined, Courageous, determined | excited_imaginative, Excited, imaginative | loving_compassionate, Loving, compassionate",,,,,,,y,,,,,
csat_q37_negative_tendency_perception,csat,,radio,I have this negative tendency,"greed_desire, Greed, desire | anger_hostility, Anger, hostility | confusion_closed_mindedness, Confusion, closed-mindedness",,,,,,,y,,,,,
csat_q38_learning_tendency,csat,,radio,I learn,"easily_but_i_quickly_forget, Easily, but I quickly forget | easily_and_i_remember_what_i_learn, Easily, and I remember what I learn | methodically_and_i_apply_learning_for_a_long_time, Methodically, and I apply learning for a long time",,,,,,,y,,,,,
csat_q39_confidence_level_perception,csat,,radio,My confidence level is,"high_on_the_surface_but_i_lack_confidence_inside, High on the surface, but I lack confidence inside | low_on_the_surface_but_i_have_inner_confidence, Low on the surface, but I have inner confidence | low_i_lack_confidence_on_the_surface_and_inside, Low; I lack confidence on the surface and inside | high_on_the_surface_high_inner_confidence, High on the surface, high inner confidence",,,,,,,y,,,,,
csat_q40_mental_tendency,csat,,radio,My mind tends to be,"restless, Restless | goal_directed, Goal-directed | satisfied, Satisfied",,,,,,,y,,,,,
csat_q41_vein_appearance,csat,,radio,My veins are,"highly_visible, Highly visible | visible, Visible | faintly_visible, Faintly visible",,,,,,,y,,,,,
csat_q42_relaxation_approach,csat,,radio,"To relax, I","read_engage_in_quiet_activities, Read, engage in quiet activities | exercise_engage_in_competitive_activities, Exercise, engage in competitive activities | socialize_engage_in_artistic_activities, Socialize, engage in artistic activities",,,,,,,y,,,,,
csat_q43_friendships_characterization,csat,,radio,My friendships are characterized as,"i_know_many_people_my_friendships_are_brief_and_lack_closeness, I know many people; my friendships are brief and lack closeness | i_make_friends_easily_and_have_many_good_friends, I make friends easily and have many good friends | i_slowly_make_friends_and_develop_lasting_friendships_with_a_few_people, I slowly make friends, and develop lasting friendships with a few people",,,,,,,y,,,,,
csat_q44_reactions_to_change,csat,,checkbox,"Typically, I react in this way to change (choose two)","anxious, Anxious | flexible, Flexible | reactive, Reactive | direct, Direct | resistant, Resistant | cautious, Cautious",,,,,,,y,,,,, @MAXCHECKED=2
csat_q45_food_beverages_enjoyed,csat,,radio,I enjoy this combination of foods and beverages,"spicy_foods_french_fries_meat_alcohol, Spicy foods, French fries, meat, alcohol | sweets_snacks_starchy_foods_fruit_juices, Sweets, snacks, starchy foods, fruit juices | salads_soups_coffee_energy_drinks, Salads, soups, coffee, energy drinks",,,,,,,y,,,,,
csat_q46_spending_habits_tendency,csat,,radio,My spending habits tend to be,"frugal, Frugal | sensible, Sensible | spontaneous, Spontaneous",,,,,,,y,,,,,
csat_q47_pain_response,csat,,radio,"When I experience pain, I tend to be","withdrawn, Withdrawn | hypersensitive, Hypersensitive | impatient, Impatient",,,,,,,y,,,,,
csat_q48_preferred_climate,csat,,radio,I prefer this climate,"hot_humid, Hot, humid | cool_dry, Cool, dry | warm_dry, Warm, dry",,,,,,,y,,,,,
csat_q49_lifestyle_tendency,csat,,radio,My lifestyle is,"organized, Organized | stable, Stable | unplanned, Unplanned",,,,,,,y,,,,,
csat_q50_approach_to_life,csat,,radio,Here is how I tend to approach life,"strive_to_get_ahead, Strive to get ahead | be_content, Be content | question_and_seek, Question and seek",,,,,,,y,,,,,
